2,2013-07-25T00:00:00.000-04:00,256,PENDING_PAYMENT
4,2013-07-25T00:00:00.000-04:00,8827,CLOSED
5,2013-07-25T00:00:00.000-04:00,11318,COMPLETE
6,2013-07-25T00:00:00.000-04:00,7130,COMPLETE
8,2013-07-25T00:00:00.000-04:00,2911,PROCESSING
10,2013-07-25T00:00:00.000-04:00,5648,PENDING_PAYMENT
21,2013-07-25T00:00:00.000-04:00,2711,PENDING
25,2013-07-25T00:00:00.000-04:00,9503,CLOSED
28,2013-07-25T00:00:00.000-04:00,656,COMPLETE
29,2013-07-25T00:00:00.000-04:00,196,PROCESSING
34,2013-07-25T00:00:00.000-04:00,4189,PROCESSING
41,2013-07-25T00:00:00.000-04:00,8136,PENDING_PAYMENT
43,2013-07-25T00:00:00.000-04:00,7776,PENDING_PAYMENT
49,2013-07-25T00:00:00.000-04:00,1871,PENDING
53,2013-07-25T00:00:00.000-04:00,4701,PROCESSING
55,2013-07-25T00:00:00.000-04:00,2052,PENDING
63,2013-07-25T00:00:00.000-04:00,1148,COMPLETE
69,2013-07-25T00:00:00.000-04:00,2821,SUSPECTED_FRAUD
86,2013-07-25T00:00:00.000-04:00,6680,PENDING_PAYMENT
89,2013-07-25T00:00:00.000-04:00,824,ON_HOLD
93,2013-07-25T00:00:00.000-04:00,2256,PENDING_PAYMENT
96,2013-07-25T00:00:00.000-04:00,8683,PENDING
98,2013-07-25T00:00:00.000-04:00,5243,COMPLETE
101,2013-07-25T00:00:00.000-04:00,5116,CLOSED
102,2013-07-25T00:00:00.000-04:00,8027,COMPLETE
110,2013-07-26T00:00:00.000-04:00,2746,COMPLETE
111,2013-07-26T00:00:00.000-04:00,4271,PROCESSING
114,2013-07-26T00:00:00.000-04:00,2091,COMPLETE
115,2013-07-26T00:00:00.000-04:00,104,PROCESSING
117,2013-07-26T00:00:00.000-04:00,58,SUSPECTED_FRAUD
124,2013-07-26T00:00:00.000-04:00,2374,COMPLETE
125,2013-07-26T00:00:00.000-04:00,4611,PENDING_PAYMENT
136,2013-07-26T00:00:00.000-04:00,9126,PENDING_PAYMENT
137,2013-07-26T00:00:00.000-04:00,4211,COMPLETE
139,2013-07-26T00:00:00.000-04:00,7933,COMPLETE
144,2013-07-26T00:00:00.000-04:00,2158,PROCESSING
149,2013-07-26T00:00:00.000-04:00,11431,COMPLETE
154,2013-07-26T00:00:00.000-04:00,9993,ON_HOLD
161,2013-07-26T00:00:00.000-04:00,4513,PENDING_PAYMENT
167,2013-07-26T00:00:00.000-04:00,1347,PENDING
172,2013-07-26T00:00:00.000-04:00,11382,COMPLETE
176,2013-07-26T00:00:00.000-04:00,2897,PENDING_PAYMENT
180,2013-07-26T00:00:00.000-04:00,10215,ON_HOLD
181,2013-07-26T00:00:00.000-04:00,7473,PENDING
183,2013-07-26T00:00:00.000-04:00,12105,COMPLETE
184,2013-07-26T00:00:00.000-04:00,210,COMPLETE
197,2013-07-26T00:00:00.000-04:00,6370,PROCESSING
202,2013-07-26T00:00:00.000-04:00,8524,PENDING_PAYMENT
212,2013-07-26T00:00:00.000-04:00,3190,PENDING
216,2013-07-26T00:00:00.000-04:00,7282,PENDING
218,2013-07-26T00:00:00.000-04:00,3935,COMPLETE
219,2013-07-26T00:00:00.000-04:00,10655,PROCESSING
221,2013-07-26T00:00:00.000-04:00,11871,CLOSED
224,2013-07-26T00:00:00.000-04:00,11938,CLOSED
229,2013-07-26T00:00:00.000-04:00,618,PENDING
236,2013-07-26T00:00:00.000-04:00,9785,COMPLETE
239,2013-07-26T00:00:00.000-04:00,5058,COMPLETE
240,2013-07-26T00:00:00.000-04:00,32,PENDING
242,2013-07-26T00:00:00.000-04:00,3237,PAYMENT_REVIEW
243,2013-07-26T00:00:00.000-04:00,32,ON_HOLD
248,2013-07-26T00:00:00.000-04:00,11707,COMPLETE
